RACE_NUMBER,DISTANCE,TIME,PARTIAL,PACE,NAME,GENDER,OFFICIAL_POSITION,POSITION_GROUPING,PACE_DATETIME,TIME_DATETIME,PARTIAL_DATETIME
213,15K,0:51:01,0:17:02,"3,24","WEIGHTMAN, LISA",F,13,Other,2023-12-03T00:03:24,2023-12-03T00:51:01,2023-12-03T00:17:02
213,20K,1:07:58,0:16:58,"3,24","WEIGHTMAN, LISA",F,13,Other,2023-12-03T00:03:24,2023-12-03T01:07:58,2023-12-03T00:16:58
213,Half,1:11:43,0:03:44,"3,24","WEIGHTMAN, LISA",F,13,Other,2023-12-03T00:03:24,2023-12-03T01:11:43,2023-12-03T00:03:44
213,25K,1:25:06,0:17:08,"3,26","WEIGHTMAN, LISA",F,13,Other,2023-12-03T00:03:26,2023-12-03T01:25:06,2023-12-03T00:17:08
213,30K,1:42:03,0:16:56,"3,23","WEIGHTMAN, LISA",F,13,Other,2023-12-03T00:03:23,2023-12-03T01:42:03,2023-12-03T00:16:56
213,35K,1:59:26,0:17:24,"3,29","WEIGHTMAN, LISA",F,13,Other,2023-12-03T00:03:29,2023-12-03T01:59:26,2023-12-03T00:17:24
213,40K,2:16:43,0:17:16,"3,27","WEIGHTMAN, LISA",F,13,Other,2023-12-03T00:03:27,2023-12-03T02:16:43,2023-12-03T00:17:16
213,META,2:24:17,0:07:34,"3,27","WEIGHTMAN, LISA",F,13,Other,2023-12-03T00:03:27,2023-12-03T02:24:17,2023-12-03T00:07:34
233,5K,0:17:02,0:17:02,"0,00","SCHLUMPF, FABIENNE",F,14,Other,2023-12-03T00:00:00,2023-12-03T00:17:02,2023-12-03T00:17:02
233,10K,0:33:59,0:16:57,"3,23","SCHLUMPF, FABIENNE",F,14,Other,2023-12-03T00:03:23,2023-12-03T00:33:59,2023-12-03T00:16:57
233,15K,0:51:01,0:17:03,"3,25","SCHLUMPF, FABIENNE",F,14,Other,2023-12-03T00:03:25,2023-12-03T00:51:01,2023-12-03T00:17:03
233,20K,1:07:58,0:16:57,"3,23","SCHLUMPF, FABIENNE",F,14,Other,2023-12-03T00:03:23,2023-12-03T01:07:58,2023-12-03T00:16:57
233,Half,1:11:44,0:03:45,"3,25","SCHLUMPF, FABIENNE",F,14,Other,2023-12-03T00:03:25,2023-12-03T01:11:44,2023-12-03T00:03:45
233,25K,1:25:07,0:17:08,"3,26","SCHLUMPF, FABIENNE",F,14,Other,2023-12-03T00:03:26,2023-12-03T01:25:07,2023-12-03T00:17:08
233,30K,1:42:05,0:16:58,"3,24","SCHLUMPF, FABIENNE",F,14,Other,2023-12-03T00:03:24,2023-12-03T01:42:05,2023-12-03T00:16:58
233,35K,1:59:42,0:17:38,"3,32","SCHLUMPF, FABIENNE",F,14,Other,2023-12-03T00:03:32,2023-12-03T01:59:42,2023-12-03T00:17:38
233,40K,2:17:01,0:17:18,"3,28","SCHLUMPF, FABIENNE",F,14,Other,2023-12-03T00:03:28,2023-12-03T02:17:01,2023-12-03T00:17:18
233,META,2:24:29,0:07:28,"3,24","SCHLUMPF, FABIENNE",F,14,Other,2023-12-03T00:03:24,2023-12-03T02:24:29,2023-12-03T00:07:28
389,5K,0:17:17,0:17:17,"0,00","HOTTENROTT, LAURA",F,15,Other,2023-12-03T00:00:00,2023-12-03T00:17:17,2023-12-03T00:17:17
389,10K,0:34:31,0:17:14,"3,27","HOTTENROTT, LAURA",F,15,Other,2023-12-03T00:03:27,2023-12-03T00:34:31,2023-12-03T00:17:14
389,15K,0:51:37,0:17:07,"3,25","HOTTENROTT, LAURA",F,15,Other,2023-12-03T00:03:25,2023-12-03T00:51:37,2023-12-03T00:17:07
