RACE NUMBER,DISTANCE,TIEMPO,PARTIAL,PACE
212,30K,1:43:29,0:17:36,"3,31"
212,35K,2:01:13,0:17:43,"3,33"
212,40K,2:18:40,0:17:27,"3,29"
212,META,2:26:17,0:07:37,"3,28"
221,5K,0:17:16,0:17:16,"0,00"
221,10K,0:34:35,0:17:20,"3,28"
221,15K,0:51:55,0:17:20,"3,28"
221,20K,1:09:11,0:17:16,"3,27"
221,Half,1:13:00,0:03:48,"3,28"
221,25K,1:26:29,0:17:18,"3,28"
221,30K,1:43:51,0:17:21,"3,28"
221,35K,2:01:23,0:17:33,"3,31"
221,40K,2:19:02,0:17:38,"3,32"
221,META,2:26:39,0:07:37,"3,28"
316,5K,0:17:16,0:17:16,"0,00"
316,10K,0:34:26,0:17:11,"3,26"
316,15K,0:51:36,0:17:10,"3,26"
316,20K,1:08:49,0:17:13,"3,27"
316,Half,1:12:41,0:03:51,"3,31"
316,25K,1:26:12,0:17:22,"3,28"
316,30K,1:43:28,0:17:17,"3,27"
316,35K,2:00:54,0:17:25,"3,29"
316,40K,2:18:35,0:17:41,"3,32"
316,META,2:26:39,0:08:04,"3,41"
266,5K,0:17:41,0:17:41,"0,00"
266,10K,0:35:11,0:17:30,"3,30"
266,15K,0:52:37,0:17:26,"3,29"
266,20K,1:10:02,0:17:26,"3,29"
266,Half,1:13:53,0:03:51,"3,31"
266,25K,1:27:34,0:17:32,"3,30"
266,30K,1:44:53,0:17:19,"3,28"
266,35K,2:02:20,0:17:26,"3,29"
266,40K,2:19:27,0:17:07,"3,25"
266,META,2:26:41,0:07:14,"3,18"
250,5K,0:17:25,0:17:25,"0,00"
250,10K,0:34:35,0:17:09,"3,26"
250,15K,0:51:56,0:17:22,"3,28"
250,20K,1:09:10,0:17:13,"3,27"
250,Half,1:12:58,0:03:48,"3,28"
250,25K,1:26:29,0:17:19,"3,28"
250,30K,1:43:46,0:17:18,"3,28"
250,35K,2:01:18,0:17:31,"3,30"
250,40K,2:19:03,0:17:46,"3,33"
250,META,2:27:17,0:08:13,"3,45"
